UserID,MovieID,Rated
1,62,3
1,141,3
1,1,2
1,96,2
1,83,4
1,151,2
1,63,2
1,14,4
1,121,3
1,101,5
1,98,1
1,168,5
1,138,2
1,74,5
1,34,5
1,8,1
1,159,2
1,111,4
1,70,2
1,65,4
1,28,3
1,14,4
1,131,5
1,184,4
1,128,3
1,92,1
1,110,4
1,190,1
1,139,4
1,185,5
1,123,3
1,33,4
1,55,2
1,189,2
1,32,1
1,13,5
1,41,2
1,164,2
1,143,1
1,134,3
1,127,1
1,120,2
1,112,5
1,48,2
1,47,5
1,144,4
1,7,3
1,6,3
2,115,5
2,103,4
2,169,5
2,2,4
2,96,1
2,90,2
2,176,5
2,140,5
2,148,2
2,154,5
2,45,4
2,107,1
2,14,4
2,41,4
2,113,2
2,80,3
2,8,2
2,155,2
2,181,3
2,166,4
2,28,2
2,33,5
2,62,2
2,181,3
2,44,5
2,104,1
2,70,3
2,73,1
2,149,3
2,156,4
2,174,2
2,112,4
2,74,2
2,163,5
2,16,5
2,119,1
2,40,4
2,40,4
2,2,4
2,193,1
2,165,2
2,110,3
2,12,1
2,25,3
2,25,3
2,48,1
2,86,5
2,97,5
3,36,3
3,132,4
3,53,4
3,176,5
3,17,4
3,178,5
3,76,3
3,156,1
3,136,5
3,54,5
3,193,1
3,162,5
3,148,1
3,71,4
3,126,1
3,185,4
3,23,4
3,149,5
3,35,3
3,165,1
3,16,5
3,79,5
3,124,3
3,49,1
3,28,1
3,122,3
3,130,1
3,181,5
3,24,4
3,31,2
3,21,5
3,153,1
3,150,5
3,61,3
3,49,1
3,98,5
3,3,2
3,20,4
3,86,5
3,95,3
3,104,3
3,11,2
3,32,3
3,187,5
3,175,3
3,164,3
3,25,4
4,18,2
4,102,4
4,184,1
4,98,5
4,68,2
4,128,3
4,96,5
4,43,2
4,105,5
4,156,5
4,35,5
4,175,1
4,113,5
4,179,5
4,178,5
4,76,2
4,152,1
4,20,2
4,100,2
4,1,1
4,109,2
4,95,5
4,30,5
4,32,5
4,13,1
4,14,4
4,190,3
4,129,1
4,67,1
4,51,4
4,185,4
4,61,3
4,152,1
4,42,1
4,21,3
4,4,2
4,170,5
4,171,2
4,187,1
4,56,3
4,84,2
4,166,1
4,116,1
4,58,3
4,139,3
4,154,5
5,140,4
5,154,1
5,98,4
5,183,1
5,36,1
5,166,1
5,165,3
5,168,3
5,52,5
5,16,4
5,30,5
5,183,1
5,121,3
5,104,1
5,146,2
5,159,2
5,78,5
5,171,2
5,193,2
5,20,4
5,40,4
5,59,3
5,112,3
5,18,1
5,24,4
5,125,5
5,23,3
5,177,4
5,137,5
5,192,2
5,124,1
5,191,4
5,163,4
5,150,3
5,6,3
5,37,4
5,42,1
5,147,5
5,177,4
5,174,4
5,26,2
5,73,2
5,94,4
5,115,1
5,130,1
5,8,4
5,32,3
5,85,4
5,70,2
5,9,2
6,132,2
6,84,5
6,116,1
6,10,4
6,163,4
6,107,1
6,25,1
6,41,5
6,36,5
6,147,4
6,23,5
6,73,2
6,164,5
6,131,5
6,64,2
6,167,4
6,112,5
6,181,3
6,90,1
6,29,4
6,43,1
6,81,4
6,165,1
6,133,5
6,111,4
6,100,3
6,162,5
6,97,4
6,141,1
6,168,2
6,42,1
6,130,3
6,11,4
6,144,3
6,1,5
6,174,3
6,31,4
6,184,4
6,108,3
6,4,4
6,22,4
6,65,4
6,183,4
6,59,1
6,139,3
6,167,4
7,108,1
7,74,4
7,127,5
7,135,2
7,34,3
7,155,3
7,148,3
7,47,1
7,139,5
7,3,4
7,163,5
7,115,3
7,13,4
7,35,5
7,154,1
7,15,1
7,151,4
7,55,1
7,178,4
7,193,4
7,153,2
7,70,4
7,161,4
7,162,1
7,88,2
7,23,4
7,176,4
7,120,4
7,145,4
7,46,3
7,40,1
7,184,5
7,94,3
7,65,2
7,168,1
7,72,1
7,172,2
7,128,2
7,8,1
7,50,5
7,183,4
7,27,3
7,144,4
7,132,4
7,129,2
7,96,3
7,191,3
8,109,4
8,125,2
8,79,5
8,105,1
8,145,5
8,9,5
8,103,3
8,140,5
8,52,2
8,160,2
8,63,1
8,60,5
